,Number,IncidentAddress,Street,Town,State,Zip,IncidentLatitude,IncidentLongitude,Coordinates
66991,2019-00008944,1400 MELBOURNE Charlottesville VA 22901,1400 MELBOURNE,Charlottesville,VA,22901,38.053895,-78.473025,"(38.053895, -78.473025)"
66995,2019-00008947,1337 CARLTON 107 Charlottesville VA 22902,1337 CARLTON 107,Charlottesville,VA,22902,38.021646,-78.463968,"(38.021646, -78.463968)"
66999,2019-00008948,1600 GORDON 26 Charlottesville VA 22903,1600 GORDON 26,Charlottesville,VA,22903,38.039929,-78.498853,"(38.039929, -78.498853)"
67003,2019-00008949,122 East MAIN Charlottesville VA 22902,122 East MAIN,Charlottesville,VA,22902,38.030568,-78.480829,"(38.030568, -78.480829)"
67006,2019-00008956,1409 BAKER Charlottesville VA 22903,1409 BAKER,Charlottesville,VA,22903,38.025822,-78.502845,"(38.025822, -78.502845)"
67008,2019-00008957,318 4TH Southeast Charlottesville VA 22902,318 4TH Southeast,Charlottesville,VA,22902,38.027901,-78.479792,"(38.027901, -78.479792)"
67012,2019-00008959,1910 JEFFERSON PARK 8 Charlottesville VA 22903,1910 JEFFERSON PARK 8,Charlottesville,VA,22903,38.026887,-78.511956,"(38.026887, -78.511956)"
67014,2019-00008962,329 STARCREST Charlottesville VA 22902,329 STARCREST,Charlottesville,VA,22902,37.993526,-78.511456,"(37.993526, -78.511456)"
67017,2019-00008964,1600 GORDON Charlottesville VA 22903,1600 GORDON,Charlottesville,VA,22903,38.039929,-78.498853,"(38.039929, -78.498853)"
67021,2019-00008967,1600 GORDON Charlottesville VA 22903,1600 GORDON,Charlottesville,VA,22903,38.039929,-78.498853,"(38.039929, -78.498853)"
67025,2019-00008970,500 1ST South 409 Charlottesville VA 22902,500 1ST South 409,Charlottesville,VA,22902,38.026604,-78.48383,"(38.026604, -78.48383)"
67029,2019-00008971,408 PARK Charlottesville VA 22902,408 PARK,Charlottesville,VA,22902,38.032277,-78.476522,"(38.032277, -78.476522)"
67036,2019-00008975,1712 East MARKET Charlottesville VA 22902,1712 East MARKET,Charlottesville,VA,22902,38.022771,-78.459013,"(38.022771, -78.459013)"
67042,2019-00008976,100 BURNET Charlottesville VA 22902,100 BURNET,Charlottesville,VA,22902,38.0239,-78.487256,"(38.0239, -78.487256)"
67047,2019-00008977,118 ROYS Charlottesville VA 22902,118 ROYS,Charlottesville,VA,22902,38.018477,-78.489653,"(38.018477, -78.489653)"
67053,2019-00008978,2504 HILLWOOD Charlottesville VA 22901,2504 HILLWOOD,Charlottesville,VA,22901,38.065582,-78.472984,"(38.065582, -78.472984)"
67057,2019-00008979,154 BRANDYWINE Charlottesville VA 22901,154 BRANDYWINE,Charlottesville,VA,22901,38.057913,-78.486922,"(38.057913, -78.486922)"
67059,2019-00008981,602 MOSELEY Charlottesville VA 22903,602 MOSELEY,Charlottesville,VA,22903,38.013823,-78.508168,"(38.013823, -78.508168)"
67064,2019-00008982,517 2ND Northeast Charlottesville VA 22902,517 2ND Northeast,Charlottesville,VA,22902,38.035003,-78.478873,"(38.035003, -78.478873)"
67080,2019-00008983,East I64 EXIT 118 TO 29N OFF / I-64 East Charlottesville VA 22903,East I64 EXIT 118 TO 29N OFF / I-64 East,Charlottesville,VA,22903,38.02041,-78.53656,"(38.02041, -78.53656)"
67083,2019-00008984,1128 East MARKET Charlottesville VA 22902,1128 East MARKET,Charlottesville,VA,22902,38.02739,-78.470421,"(38.02739, -78.470421)"
67088,2019-00008985,2036 INDIA 108 Charlottesville VA 22901,2036 INDIA 108,Charlottesville,VA,22901,38.062139,-78.488445,"(38.062139, -78.488445)"
67092,2019-00008986,402 11TH Northeast Charlottesville VA 22902,402 11TH Northeast,Charlottesville,VA,22902,38.030919,-78.46966,"(38.030919, -78.46966)"
67095,2019-00008988,1137 EMMET North Charlottesville VA 22903,1137 EMMET North,Charlottesville,VA,22903,38.051829,-78.500244,"(38.051829, -78.500244)"
67099,2019-00008991,555 BURGOYNE 9 Charlottesville VA 22901,555 BURGOYNE 9,Charlottesville,VA,22901,38.063379,-78.510563,"(38.063379, -78.510563)"
67102,2019-00008992,400 MCINTIRE Charlottesville VA 22902,400 MCINTIRE,Charlottesville,VA,22902,38.033823,-78.483056,"(38.033823, -78.483056)"
67112,2019-00008993,1242 CEDARS 104A Charlottesville VA 22903,1242 CEDARS 104A,Charlottesville,VA,22903,38.056437,-78.500668,"(38.056437, -78.500668)"
67116,2019-00008994,1439 RUGBY Charlottesville VA 22903,1439 RUGBY,Charlottesville,VA,22903,38.045394,-78.482016,"(38.045394, -78.482016)"
67120,2019-00008998,711 ELM A Charlottesville VA 22903,711 ELM A,Charlottesville,VA,22903,38.027534,-78.493896,"(38.027534, -78.493896)"
67124,2019-00009000,431 MOSELEY Charlottesville VA 22903,431 MOSELEY,Charlottesville,VA,22903,,,"(nan, nan)"
67125,2019-00009000,431 MOSELEY Charlottesville VA 22903,431 MOSELEY,Charlottesville,VA,22903,,,"(nan, nan)"
67126,2019-00009000,431 MOSELEY Charlottesville VA 22903,431 MOSELEY,Charlottesville,VA,22903,,,"(nan, nan)"
67127,2019-00009000,431 MOSELEY Charlottesville VA 22903,431 MOSELEY,Charlottesville,VA,22903,,,"(nan, nan)"
67128,2019-00009000,431 MOSELEY Charlottesville VA 22903,431 MOSELEY,Charlottesville,VA,22903,,,"(nan, nan)"
67129,2019-00009001,1400 MONTICELLO 113 Charlottesville VA 22902,1400 MONTICELLO 113,Charlottesville,VA,22902,38.019349,-78.472544,"(38.019349, -78.472544)"
67134,2019-00009003,305 MIDDLETON Charlottesville VA 22903,305 MIDDLETON,Charlottesville,VA,22903,38.013331,-78.515796,"(38.013331, -78.515796)"
67138,2019-00009004,600 West MAIN Charlottesville VA 22903,600 West MAIN,Charlottesville,VA,22903,38.030959,-78.488494,"(38.030959, -78.488494)"
67145,2019-00009005,1409 BAKER Charlottesville VA 22903,1409 BAKER,Charlottesville,VA,22903,,,"(nan, nan)"
67146,2019-00009005,1409 BAKER Charlottesville VA 22903,1409 BAKER,Charlottesville,VA,22903,,,"(nan, nan)"
67147,2019-00009006,189 CULBRETH Charlottesville VA 22903,189 CULBRETH,Charlottesville,VA,22903,38.039536,-78.502354,"(38.039536, -78.502354)"
67153,2019-00009010,750 HARRIS 101 Charlottesville VA 22903,750 HARRIS 101,Charlottesville,VA,22903,38.036665,-78.483823,"(38.036665, -78.483823)"
67158,2019-00009011,315 10TH Northeast Charlottesville VA 22902,315 10TH Northeast,Charlottesville,VA,22902,,,"(nan, nan)"
67159,2019-00009011,315 10TH Northeast Charlottesville VA 22902,315 10TH Northeast,Charlottesville,VA,22902,,,"(nan, nan)"
67160,2019-00009011,315 10TH Northeast Charlottesville VA 22902,315 10TH Northeast,Charlottesville,VA,22902,,,"(nan, nan)"
67161,2019-00009011,315 10TH Northeast Charlottesville VA 22902,315 10TH Northeast,Charlottesville,VA,22902,,,"(nan, nan)"
67162,2019-00009011,315 10TH Northeast Charlottesville VA 22902,315 10TH Northeast,Charlottesville,VA,22902,,,"(nan, nan)"
67163,2019-00009013,North EMMET ST North Charlottesville VA 22903,North EMMET ST North,Charlottesville,VA,22903,38.053053,-78.499199,"(38.053053, -78.499199)"
67167,2019-00009014,1647 BRANDYWINE Charlottesville VA 22901,1647 BRANDYWINE,Charlottesville,VA,22901,38.063252,-78.481016,"(38.063252, -78.481016)"
67171,2019-00009015,NEWCOMB RD S / MCCORMICK South Charlottesville VA 22904,NEWCOMB RD S / MCCORMICK South,Charlottesville,VA,22904,38.033696,-78.508486,"(38.033696, -78.508486)"
67176,2019-00009017,402 11TH Northeast Charlottesville VA 22902,402 11TH Northeast,Charlottesville,VA,22902,38.030919,-78.46966,"(38.030919, -78.46966)"
67179,2019-00009018,1534 CHERRY A Charlottesville VA 22903,1534 CHERRY A,Charlottesville,VA,22903,38.023842,-78.506246,"(38.023842, -78.506246)"
67183,2019-00009019,207 RIDGE Charlottesville VA 22903,207 RIDGE,Charlottesville,VA,22903,38.029032,-78.486558,"(38.029032, -78.486558)"
67186,2019-00009020,1320 BRANCHLANDS 3J Charlottesville VA 22901,1320 BRANCHLANDS 3J,Charlottesville,VA,22901,38.071833,-78.477196,"(38.071833, -78.477196)"
67189,2019-00009021,207 RIDGE Charlottesville VA 22903,207 RIDGE,Charlottesville,VA,22903,38.029032,-78.486558,"(38.029032, -78.486558)"
67192,2019-00009023,583 BRANDON 407 Charlottesville VA 22903,583 BRANDON 407,Charlottesville,VA,22903,38.029549,-78.504968,"(38.029549, -78.504968)"
67198,2019-00009028,1050 DRUID 203 Charlottesville VA 22902,1050 DRUID 203,Charlottesville,VA,22902,38.016555,-78.475885,"(38.016555, -78.475885)"
67201,2019-00009032,1340 JEFFERSON PARK Charlottesville VA 22903,1340 JEFFERSON PARK,Charlottesville,VA,22903,38.032466,-78.500682,"(38.032466, -78.500682)"
67207,2019-00009033,704 SHAMROCK Charlottesville VA 22903,704 SHAMROCK,Charlottesville,VA,22903,38.020815,-78.503225,"(38.020815, -78.503225)"
67213,2019-00009034,809 BOLLING C Charlottesville VA 22902,809 BOLLING C,Charlottesville,VA,22902,38.022667,-78.47727,"(38.022667, -78.47727)"
67216,2019-00009035,605 East MAIN Charlottesville VA 22902,605 East MAIN,Charlottesville,VA,22902,38.029753,-78.47721,"(38.029753, -78.47721)"
67221,2019-00009036,2476 OLD IVY Charlottesville VA 22903,2476 OLD IVY,Charlottesville,VA,22903,38.049366,-78.523627,"(38.049366, -78.523627)"
67227,2019-00009038,995 SEMINOLE Charlottesville VA 22901,995 SEMINOLE,Charlottesville,VA,22901,38.064133,-78.48891,"(38.064133, -78.48891)"
67229,2019-00009039,201 1ST North Charlottesville VA 22902,201 1ST North,Charlottesville,VA,22902,38.031931,-78.481051,"(38.031931, -78.481051)"
67235,2019-00009041,108 WILSON Charlottesville VA 22901,108 WILSON,Charlottesville,VA,22901,38.065041,-78.476341,"(38.065041, -78.476341)"
67240,2019-00009043,900 1ST South Charlottesville VA 22902,900 1ST South,Charlottesville,VA,22902,38.022901,-78.485669,"(38.022901, -78.485669)"
67242,2019-00009044,1335 CARLTON Charlottesville VA 22902,1335 CARLTON,Charlottesville,VA,22902,38.021752,-78.464846,"(38.021752, -78.464846)"
67245,2019-00009045,1058 PAGE Charlottesville VA 22903,1058 PAGE,Charlottesville,VA,22903,38.035602,-78.494743,"(38.035602, -78.494743)"
67250,2019-00009046,409 LANE Charlottesville VA 22903,409 LANE,Charlottesville,VA,22903,38.030448,-78.499637,"(38.030448, -78.499637)"
67253,2019-00009047,112 West MARKET Charlottesville VA 22902,112 West MARKET,Charlottesville,VA,22902,38.031573,-78.481473,"(38.031573, -78.481473)"
67255,2019-00009048,514 CLEVELAND A Charlottesville VA 22903,514 CLEVELAND A,Charlottesville,VA,22903,38.016801,-78.499225,"(38.016801, -78.499225)"
67260,2019-00009051,RIDGE ST / MONTICELLO Charlottesville VA 22902,RIDGE ST / MONTICELLO,Charlottesville,VA,22902,38.028691,-78.48605,"(38.028691, -78.48605)"
67264,2019-00009053,918 ANDERSON Charlottesville VA 22903,918 ANDERSON,Charlottesville,VA,22903,38.036206,-78.491884,"(38.036206, -78.491884)"
67268,2019-00009054,2404 FONTAINE Charlottesville VA 22903,2404 FONTAINE,Charlottesville,VA,22903,38.025698,-78.519559,"(38.025698, -78.519559)"
67272,2019-00009055,801 FRANKLING Charlottesville VA 22902,801 FRANKLING,Charlottesville,VA,22902,38.018467,-78.467534,"(38.018467, -78.467534)"
67275,2019-00009058,2121 IVY Charlottesville VA 22903,2121 IVY,Charlottesville,VA,22903,38.043263,-78.511899,"(38.043263, -78.511899)"
67293,2019-00009061,402 11TH Northeast Charlottesville VA 22902,402 11TH Northeast,Charlottesville,VA,22902,38.030919,-78.46966,"(38.030919, -78.46966)"
67297,2019-00009062,1170 EMMET North Charlottesville VA 22903,1170 EMMET North,Charlottesville,VA,22903,38.0524,-78.499234,"(38.0524, -78.499234)"
67298,2019-00009064,1300 West MAIN Charlottesville VA 22903,1300 West MAIN,Charlottesville,VA,22903,38.033959,-78.499605,"(38.033959, -78.499605)"
67302,2019-00009066,135 HOSPITAL Charlottesville VA 22903,135 HOSPITAL,Charlottesville,VA,22903,38.033312,-78.502501,"(38.033312, -78.502501)"
67308,2019-00009068,912 ROSSER Charlottesville VA 22903,912 ROSSER,Charlottesville,VA,22903,38.045291,-78.495986,"(38.045291, -78.495986)"
67313,2019-00009071,1324 RIVERDALE A Charlottesville VA 22902,1324 RIVERDALE A,Charlottesville,VA,22902,38.034997,-78.460954,"(38.034997, -78.460954)"
67318,2019-00009072,1329 RIVERDALE 3 Charlottesville VA 22902,1329 RIVERDALE 3,Charlottesville,VA,22902,38.03444,-78.461015,"(38.03444, -78.461015)"
67323,2019-00009076,2205 FONTAINE Charlottesville VA 22903,2205 FONTAINE,Charlottesville,VA,22903,38.026204,-78.516074,"(38.026204, -78.516074)"
67326,2019-00009077,510 17TH Northwest Charlottesville VA 22903,510 17TH Northwest,Charlottesville,VA,22903,38.040677,-78.499358,"(38.040677, -78.499358)"
67331,2019-00009079,1149 SEMINOLE Charlottesville VA 22901,1149 SEMINOLE,Charlottesville,VA,22901,38.065341,-78.488224,"(38.065341, -78.488224)"
67333,2019-00009080,309 KENT Charlottesville VA 22903,309 KENT,Charlottesville,VA,22903,38.040169,-78.515737,"(38.040169, -78.515737)"
67337,2019-00009081,517 2ND Northeast Charlottesville VA 22902,517 2ND Northeast,Charlottesville,VA,22902,38.035003,-78.478873,"(38.035003, -78.478873)"
67340,2019-00009085,1321 CHESAPEAKE Charlottesville VA 22902,1321 CHESAPEAKE,Charlottesville,VA,22902,38.026949,-78.464875,"(38.026949, -78.464875)"
67342,2019-00009086,10 BONNYCASTLE Charlottesville VA 22904,10 BONNYCASTLE,Charlottesville,VA,22904,38.035744,-78.510791,"(38.035744, -78.510791)"
67347,2019-00009087,111 MONTICELLO Charlottesville VA 22902,111 MONTICELLO,Charlottesville,VA,22902,38.028216,-78.483656,"(38.028216, -78.483656)"
67352,2019-00009091,2011 HOLIDAY 371 Charlottesville VA 22901,2011 HOLIDAY 371,Charlottesville,VA,22901,38.057719,-78.492543,"(38.057719, -78.492543)"
67357,2019-00009093,920 BEVERLEY 203 Charlottesville VA 22911,920 BEVERLEY 203,Charlottesville,VA,22911,38.028036,-78.448853,"(38.028036, -78.448853)"
67361,2019-00009094,401 4TH Northwest 113 Charlottesville VA 22903,401 4TH Northwest 113,Charlottesville,VA,22903,38.034066,-78.485466,"(38.034066, -78.485466)"
67366,2019-00009098,1205 UNIVERSITY Charlottesville VA 22903,1205 UNIVERSITY,Charlottesville,VA,22903,38.035175,-78.500281,"(38.035175, -78.500281)"
67368,2019-00009100,1201 West MAIN Charlottesville VA 22903,1201 West MAIN,Charlottesville,VA,22903,38.033086,-78.496763,"(38.033086, -78.496763)"
67370,2019-00009101,11 ELLIEWOOD Charlottesville VA 22903,11 ELLIEWOOD,Charlottesville,VA,22903,38.036063,-78.500201,"(38.036063, -78.500201)"
67373,2019-00009108,UNIVERSITY AVE / HOSPITAL Charlottesville VA 22903,UNIVERSITY AVE / HOSPITAL,Charlottesville,VA,22903,38.034398,-78.500197,"(38.034398, -78.500197)"
67376,2019-00009109,201 1ST North Charlottesville VA 22902,201 1ST North,Charlottesville,VA,22902,38.031931,-78.481051,"(38.031931, -78.481051)"
67382,2019-00009110,764 ORANGEDALE Charlottesville VA 22903,764 ORANGEDALE,Charlottesville,VA,22903,38.021963,-78.497159,"(38.021963, -78.497159)"
67387,2019-00009111,908 East JEFFERSON 301 Charlottesville VA 22902,908 East JEFFERSON 301,Charlottesville,VA,22902,38.030271,-78.473992,"(38.030271, -78.473992)"
67388,2019-00009112,511 RIDGE Charlottesville VA 22902,511 RIDGE,Charlottesville,VA,22902,38.026921,-78.487855,"(38.026921, -78.487855)"
67391,2019-00009113,1637 BRANDYWINE Charlottesville VA 22901,1637 BRANDYWINE,Charlottesville,VA,22901,38.061685,-78.483135,"(38.061685, -78.483135)"
67393,2019-00009114,612 RAINIER Charlottesville VA 22903,612 RAINIER,Charlottesville,VA,22903,38.020456,-78.508932,"(38.020456, -78.508932)"
67401,2019-00009115,1210 LEE Charlottesville VA 22903,1210 LEE,Charlottesville,VA,22903,38.031444,-78.497432,"(38.031444, -78.497432)"
67404,2019-00009117,828 MCINTIRE Charlottesville VA 22902,828 MCINTIRE,Charlottesville,VA,22902,38.042317,-78.475241,"(38.042317, -78.475241)"
67413,2019-00009119,402 11TH Northeast 9 Charlottesville VA 22902,402 11TH Northeast 9,Charlottesville,VA,22902,38.030919,-78.46966,"(38.030919, -78.46966)"
67415,2019-00009124,1242 CEDARS 426A Charlottesville VA 22903,1242 CEDARS 426A,Charlottesville,VA,22903,38.056437,-78.500668,"(38.056437, -78.500668)"
67421,2019-00009126,I-64 E / E I64 EXIT 118 TO 29N OFF Charlottesville VA 22903,I-64 E / E I64 EXIT 118 TO 29N OFF,Charlottesville,VA,22903,38.02041,-78.53656,"(38.02041, -78.53656)"
67424,2019-00009130,816 RAYMOND Charlottesville VA 22902,816 RAYMOND,Charlottesville,VA,22902,38.019236,-78.492612,"(38.019236, -78.492612)"
67430,2019-00009131,902 RIVES Charlottesville VA 22902,902 RIVES,Charlottesville,VA,22902,38.017656,-78.469912,"(38.017656, -78.469912)"
67435,2019-00009138,728 PROSPECT F Charlottesville VA 22903,728 PROSPECT F,Charlottesville,VA,22903,38.023142,-78.495185,"(38.023142, -78.495185)"
67439,2019-00009139,2000 MORTON Charlottesville VA 22903,2000 MORTON,Charlottesville,VA,22903,38.054861,-78.495124,"(38.054861, -78.495124)"
67442,2019-00009141,123 East MAIN Charlottesville VA 22902,123 East MAIN,Charlottesville,VA,22902,38.030838,-78.48088,"(38.030838, -78.48088)"
67447,2019-00009144,112 West MARKET Charlottesville VA 22902,112 West MARKET,Charlottesville,VA,22902,38.031573,-78.481473,"(38.031573, -78.481473)"
67454,2019-00009146,880 RIDGE Charlottesville VA 22902,880 RIDGE,Charlottesville,VA,22902,38.019945,-78.49325,"(38.019945, -78.49325)"
67460,2019-00009148,1111 HARRIS Charlottesville VA 22903,1111 HARRIS,Charlottesville,VA,22903,38.038979,-78.481544,"(38.038979, -78.481544)"
67470,2019-00009149,1131 5TH Southwest Charlottesville VA 22903,1131 5TH Southwest,Charlottesville,VA,22903,38.013273,-78.502968,"(38.013273, -78.502968)"
67475,2019-00009156,1149 SEMINOLE 2 Charlottesville VA 22901,1149 SEMINOLE 2,Charlottesville,VA,22901,38.065341,-78.488224,"(38.065341, -78.488224)"
67479,2019-00009157,100 RIDGE Charlottesville VA 22902,100 RIDGE,Charlottesville,VA,22902,38.029854,-78.484804,"(38.029854, -78.484804)"
67483,2019-00009159,2006 STADIUM 15 Charlottesville VA 22903,2006 STADIUM 15,Charlottesville,VA,22903,38.028596,-78.514604,"(38.028596, -78.514604)"
67488,2019-00009162,325 West MAIN Charlottesville VA 22903,325 West MAIN,Charlottesville,VA,22903,38.030727,-78.486158,"(38.030727, -78.486158)"
67491,2019-00009163,FONTAINE AVENUE EXT / RAY C HUNT Charlottesville VA 22902,FONTAINE AVENUE EXT / RAY C HUNT,Charlottesville,VA,22902,38.026446,-78.524679,"(38.026446, -78.524679)"
67494,2019-00009167,520 East MAIN Charlottesville VA 22902,520 East MAIN,Charlottesville,VA,22902,38.029474,-78.47811,"(38.029474, -78.47811)"
67499,2019-00009174,223 4TH Southwest Charlottesville VA 22903,223 4TH Southwest,Charlottesville,VA,22903,38.029328,-78.487492,"(38.029328, -78.487492)"
67501,2019-00009177,1400 MELBOURNE Charlottesville VA 22901,1400 MELBOURNE,Charlottesville,VA,22901,38.053895,-78.473025,"(38.053895, -78.473025)"
67506,2019-00009179,808 WINSTON Charlottesville VA 22903,808 WINSTON,Charlottesville,VA,22903,38.045477,-78.499186,"(38.045477, -78.499186)"
67512,2019-00009181,1210 LEE Charlottesville VA 22903,1210 LEE,Charlottesville,VA,22903,38.031444,-78.497432,"(38.031444, -78.497432)"
67518,2019-00009183,404 ALTAMONT Charlottesville VA 22902,404 ALTAMONT,Charlottesville,VA,22902,38.033743,-78.481237,"(38.033743, -78.481237)"
67521,2019-00009185,5 West RANGE Charlottesville VA 22903,5 West RANGE,Charlottesville,VA,22903,38.035665,-78.504826,"(38.035665, -78.504826)"
67524,2019-00009187,944 ROCK CREEK Charlottesville VA 22903,944 ROCK CREEK,Charlottesville,VA,22903,38.01916,-78.497707,"(38.01916, -78.497707)"
67528,2019-00009193,112 West MARKET Charlottesville VA 22902,112 West MARKET,Charlottesville,VA,22902,38.031573,-78.481473,"(38.031573, -78.481473)"
67532,2019-00009197,603 DRUID Charlottesville VA 22902,603 DRUID,Charlottesville,VA,22902,38.020481,-78.483719,"(38.020481, -78.483719)"
67536,2019-00009205,801 DRUID Charlottesville VA 22902,801 DRUID,Charlottesville,VA,22902,38.018949,-78.480722,"(38.018949, -78.480722)"
67541,2019-00009206,928 1ST South Charlottesville VA 22902,928 1ST South,Charlottesville,VA,22902,38.020822,-78.486574,"(38.020822, -78.486574)"
67544,2019-00009207,1405 SHORT 18TH A Charlottesville VA 22902,1405 SHORT 18TH A,Charlottesville,VA,22902,38.0268,-78.461837,"(38.0268, -78.461837)"
67550,2019-00009210,2010 SPOTTSWOOD Charlottesville VA 22903,2010 SPOTTSWOOD,Charlottesville,VA,22903,38.052411,-78.495661,"(38.052411, -78.495661)"
67554,2019-00009211,206 RIVERVIEW Charlottesville VA 22902,206 RIVERVIEW,Charlottesville,VA,22902,38.023691,-78.459354,"(38.023691, -78.459354)"
67559,2019-00009212,416 4TH Northwest Charlottesville VA 22903,416 4TH Northwest,Charlottesville,VA,22903,38.033807,-78.485287,"(38.033807, -78.485287)"
67570,2019-00009214,2155 BARRACKS Charlottesville VA 22903,2155 BARRACKS,Charlottesville,VA,22903,38.056277,-78.501842,"(38.056277, -78.501842)"
67575,2019-00009215,M.M. 114 EB East Interstate 64 Charlottesville VA 22903,M.M. 114 EB East Interstate 64,Charlottesville,VA,22903,38.022497,-78.57715,"(38.022497, -78.57715)"
67578,2019-00009216,RICHMOND RD Charlottesville VA 22911,RICHMOND RD,Charlottesville,VA,22911,38.033867,-78.455059,"(38.033867, -78.455059)"
67581,2019-00009217,513 East MAIN Charlottesville VA 22902,513 East MAIN,Charlottesville,VA,22902,38.029832,-78.477786,"(38.029832, -78.477786)"
67586,2019-00009219,800 PRESTON Charlottesville VA 22903,800 PRESTON,Charlottesville,VA,22903,38.036459,-78.488781,"(38.036459, -78.488781)"
67591,2019-00009220,512 MASSIE Charlottesville VA 22903,512 MASSIE,Charlottesville,VA,22903,38.050569,-78.512694,"(38.050569, -78.512694)"
67595,2019-00009221,112 West MARKET Charlottesville VA 22902,112 West MARKET,Charlottesville,VA,22902,38.031573,-78.481473,"(38.031573, -78.481473)"
67600,2019-00009222,431 MOSELEY Charlottesville VA 22903,431 MOSELEY,Charlottesville,VA,22903,38.017452,-78.506042,"(38.017452, -78.506042)"
67602,2019-00009223,310 4TH Northeast Charlottesville VA 22902,310 4TH Northeast,Charlottesville,VA,22902,38.032183,-78.478655,"(38.032183, -78.478655)"
67606,2019-00009225,800 MCINTIRE Charlottesville VA 22902,800 MCINTIRE,Charlottesville,VA,22902,38.040903,-78.476937,"(38.040903, -78.476937)"
67608,2019-00009226,400 East MAIN Charlottesville VA 22902,400 East MAIN,Charlottesville,VA,22902,38.030056,-78.479224,"(38.030056, -78.479224)"
67613,2019-00009228,500 1ST South 406 Charlottesville VA 22902,500 1ST South 406,Charlottesville,VA,22902,38.026604,-78.48383,"(38.026604, -78.48383)"
67616,2019-00009229,2006 STADIUM 15 Charlottesville VA 22903,2006 STADIUM 15,Charlottesville,VA,22903,38.028596,-78.514604,"(38.028596, -78.514604)"
67621,2019-00009230,500 CHERRY Charlottesville VA 22903,500 CHERRY,Charlottesville,VA,22903,38.026057,-78.490886,"(38.026057, -78.490886)"
67625,2019-00009232,203 RIDGE Charlottesville VA 22903,203 RIDGE,Charlottesville,VA,22903,38.029401,-78.486353,"(38.029401, -78.486353)"
67626,2019-00009233,1104 HAZEL Charlottesville VA 22902,1104 HAZEL,Charlottesville,VA,22902,38.034362,-78.467412,"(38.034362, -78.467412)"
67631,2019-00009235,2111 MICHIE 39B Charlottesville VA 22901,2111 MICHIE 39B,Charlottesville,VA,22901,38.059975,-78.487653,"(38.059975, -78.487653)"
67633,2019-00009237,200 West MAIN Charlottesville VA 22902,200 West MAIN,Charlottesville,VA,22902,38.031009,-78.482281,"(38.031009, -78.482281)"
67637,2019-00009239,JEFFERSON PARK AVE / PARK Charlottesville VA 22903,JEFFERSON PARK AVE / PARK,Charlottesville,VA,22903,38.019609,-78.514588,"(38.019609, -78.514588)"
67642,2019-00009240,380 CRISPELL Charlottesville VA 22903,380 CRISPELL,Charlottesville,VA,22903,38.030225,-78.501903,"(38.030225, -78.501903)"
67648,2019-00009244,1005 ALTAVISTA A Charlottesville VA 22902,1005 ALTAVISTA A,Charlottesville,VA,22902,38.018278,-78.47661,"(38.018278, -78.47661)"
67649,2019-00009245,380 CRISPELL Charlottesville VA 22903,380 CRISPELL,Charlottesville,VA,22903,38.030225,-78.501903,"(38.030225, -78.501903)"
67650,2019-00009246,101 East MARKET Charlottesville VA 22902,101 East MARKET,Charlottesville,VA,22902,38.031577,-78.481096,"(38.031577, -78.481096)"
67653,2019-00009249,1215 LEE Charlottesville VA 22908,1215 LEE,Charlottesville,VA,22908,38.031028,-78.498547,"(38.031028, -78.498547)"
67663,2019-00009251,2722 MCELROY Charlottesville VA 22903,2722 MCELROY,Charlottesville,VA,22903,,,"(nan, nan)"
67664,2019-00009251,2722 MCELROY Charlottesville VA 22903,2722 MCELROY,Charlottesville,VA,22903,,,"(nan, nan)"
67665,2019-00009254,580 MASSIE Charlottesville VA 22903,580 MASSIE,Charlottesville,VA,22903,38.053105,-78.509478,"(38.053105, -78.509478)"
67669,2019-00009255,207 RIDGE Charlottesville VA 22903,207 RIDGE,Charlottesville,VA,22903,38.029032,-78.486558,"(38.029032, -78.486558)"
67673,2019-00009256,800 East MARKET Charlottesville VA 22902,800 East MARKET,Charlottesville,VA,22902,38.029572,-78.476028,"(38.029572, -78.476028)"
67679,2019-00009257,170 9TH Southeast Charlottesville VA 22902,170 9TH Southeast,Charlottesville,VA,22902,38.028735,-78.476587,"(38.028735, -78.476587)"
67681,2019-00009258,728 ORANGEDALE Charlottesville VA 22903,728 ORANGEDALE,Charlottesville,VA,22903,38.023364,-78.496101,"(38.023364, -78.496101)"
67685,2019-00009260,7 7TH ST / ELSOM Northwest Charlottesville VA 22903,7 7TH ST / ELSOM Northwest,Charlottesville,VA,22903,38.032058,-78.489518,"(38.032058, -78.489518)"
67687,2019-00009261,306 7 1/2 Southwest Charlottesville VA 22903,306 7 1/2 Southwest,Charlottesville,VA,22903,38.029434,-78.491265,"(38.029434, -78.491265)"
67693,2019-00009262,545 RAY C HUNT 140 Charlottesville VA 22903,545 RAY C HUNT 140,Charlottesville,VA,22903,38.02493,-78.525039,"(38.02493, -78.525039)"
67698,2019-00009263,415 RAY C HUNT Charlottesville VA 22903,415 RAY C HUNT,Charlottesville,VA,22903,38.02515,-78.526084,"(38.02515, -78.526084)"
67703,2019-00009264,1856 WINSTON Charlottesville VA 22903,1856 WINSTON,Charlottesville,VA,22903,38.046579,-78.500892,"(38.046579, -78.500892)"
67707,2019-00009265,728 ORANGEDALE Charlottesville VA 22903,728 ORANGEDALE,Charlottesville,VA,22903,38.023364,-78.496101,"(38.023364, -78.496101)"
